user_id,signup_date,acquisition_channel,experiment_group,activated,activation_date
1,2024-05-16,Paid Social,B,False,
2,2024-12-13,Paid Social,A,True,2024-12-17
3,2024-09-24,Organic,B,True,2024-09-25
4,2024-08-06,Paid Social,B,False,
5,2024-02-26,Organic,A,True,2024-02-26
6,2024-02-26,Paid Social,B,True,2024-02-28
7,2024-01-22,Referral,B,True,2024-01-26
8,2024-11-12,Referral,B,True,2024-11-18
9,2024-08-07,Organic,A,True,2024-08-08
10,2024-09-15,Paid Social,B,True,2024-09-17
11,2024-01-08,Organic,B,True,2024-01-11
12,2024-12-20,Referral,B,True,2024-12-24
13,2024-10-30,Organic,B,False,
14,2024-03-18,Paid Social,B,False,
15,2024-03-07,Organic,B,True,2024-03-07
16,2024-03-07,Paid Social,B,False,
17,2024-04-21,Paid Social,A,True,2024-04-26
18,2024-07-10,Organic,B,True,2024-07-16
19,2024-06-06,Paid Social,B,True,2024-06-13
20,2024-04-16,Organic,A,True,2024-04-20
21,2024-08-11,Referral,B,True,2024-08-15
22,2024-02-20,Organic,B,False,
23,2024-04-16,Paid Social,B,True,2024-04-17
24,2024-05-13,Referral,A,True,2024-05-15
25,2024-06-15,Organic,A,True,2024-06-20
26,2024-10-13,Organic,A,True,2024-10-15
27,2024-03-13,Organic,A,False,
28,2024-07-06,Influencer,B,False,
29,2024-08-04,Organic,B,True,2024-08-08
30,2024-01-17,Organic,A,False,
31,2024-08-09,Paid Social,B,False,
32,2024-03-03,Paid Social,B,True,2024-03-06
33,2024-01-24,Referral,A,True,2024-01-24
34,2024-12-12,Referral,B,False,
35,2024-12-18,Influencer,B,False,
36,2024-10-22,Organic,B,True,2024-10-23
37,2024-04-21,Organic,B,False,
38,2024-02-05,Influencer,A,False,
39,2024-09-06,Influencer,B,False,
40,2024-06-09,Paid Social,A,True,2024-06-12
41,2024-02-14,Paid Social,A,True,2024-02-21
42,2024-06-29,Organic,B,True,2024-06-29
43,2024-01-13,Referral,B,True,2024-01-17
44,2024-11-27,Referral,B,False,
45,2024-04-04,Organic,B,False,
46,2024-08-29,Organic,A,True,2024-09-01
47,2024-04-23,Organic,B,False,
48,2024-07-08,Organic,B,False,
49,2024-07-18,Organic,B,True,2024-07-19
50,2024-03-08,Organic,B,False,
51,2024-12-19,Organic,A,False,
52,2024-10-09,Paid Social,A,False,
53,2024-12-08,Organic,A,True,2024-12-15
54,2024-11-22,Referral,B,True,2024-11-24
55,2024-08-06,Referral,B,True,2024-08-06
56,2024-12-02,Referral,A,False,
57,2024-02-02,Paid Social,B,False,
58,2024-03-12,Paid Social,A,True,2024-03-15
59,2024-01-17,Organic,B,False,
60,2024-04-28,Organic,B,True,2024-04-30
61,2024-05-21,Influencer,B,True,2024-05-25
62,2024-04-09,Organic,B,True,2024-04-11
63,2024-10-29,Organic,B,False,
64,2024-05-10,Organic,A,True,2024-05-15
65,2024-04-12,Referral,A,True,2024-04-14
66,2024-07-17,Organic,B,False,
67,2024-02-21,Paid Social,B,False,
68,2024-10-19,Paid Social,B,True,2024-10-26
69,2024-01-28,Influencer,B,True,2024-01-29
70,2024-12-26,Organic,A,True,2025-01-02
71,2024-10-08,Paid Social,B,False,
72,2024-03-13,Influencer,A,False,
73,2024-01-03,Organic,B,True,2024-01-06
74,2024-10-24,Organic,A,True,2024-10-31
75,2024-09-15,Organic,B,True,2024-09-17
76,2024-09-23,Paid Social,B,False,
77,2024-10-08,Organic,A,True,2024-10-12
78,2024-01-28,Referral,B,False,
79,2024-05-10,Paid Social,B,False,
80,2024-02-12,Paid Social,B,True,2024-02-17
81,2024-11-11,Paid Social,A,True,2024-11-14
82,2024-08-15,Influencer,A,True,2024-08-21
83,2024-04-30,Paid Social,A,True,2024-05-03
84,2024-01-24,Organic,B,True,2024-01-25
85,2024-04-23,Organic,B,False,
86,2024-04-28,Referral,A,True,2024-04-30
87,2024-09-23,Paid Social,B,True,2024-09-27
88,2024-08-20,Paid Social,B,False,
89,2024-11-19,Influencer,A,True,2024-11-23
90,2024-06-21,Paid Social,A,False,
91,2024-02-13,Organic,B,True,2024-02-18
92,2024-09-17,Influencer,A,False,
93,2024-10-04,Paid Social,A,True,2024-10-11
94,2024-07-23,Organic,A,False,
95,2024-10-08,Paid Social,A,False,
96,2024-06-29,Paid Social,B,True,2024-07-03
97,2024-07-09,Paid Social,B,True,2024-07-10
98,2024-06-05,Influencer,A,True,2024-06-08
99,2024-01-10,Organic,B,True,2024-01-13
100,2024-02-09,Organic,B,False,
101,2024-01-12,Influencer,A,True,2024-01-17
102,2024-08-20,Organic,B,False,
103,2024-04-24,Referral,A,True,2024-04-30
104,2024-07-04,Organic,A,True,2024-07-10
105,2024-11-27,Referral,B,False,
106,2024-03-31,Influencer,A,True,2024-04-02
107,2024-05-29,Organic,B,False,
108,2024-10-02,Organic,B,False,
109,2024-03-24,Influencer,A,True,2024-03-31
110,2024-01-29,Referral,B,True,2024-01-31
111,2024-04-15,Organic,A,False,
112,2024-02-28,Organic,B,True,2024-02-29
113,2024-12-05,Paid Social,A,True,2024-12-08
114,2024-10-21,Referral,A,True,2024-10-22
115,2024-08-19,Organic,A,False,
116,2024-11-14,Referral,A,True,2024-11-20
117,2024-10-20,Organic,A,True,2024-10-27
118,2024-03-09,Paid Social,A,False,
119,2024-11-21,Referral,A,False,
120,2024-07-15,Organic,A,True,2024-07-15
121,2024-10-21,Organic,B,True,2024-10-24
122,2024-11-23,Referral,B,True,2024-11-29
123,2024-04-26,Organic,A,False,
124,2024-02-10,Paid Social,A,True,2024-02-13
125,2024-03-24,Paid Social,B,True,2024-03-25
126,2024-06-04,Paid Social,A,True,2024-06-06
127,2024-10-25,Organic,B,True,2024-11-01
128,2024-11-10,Paid Social,B,False,
129,2024-01-03,Paid Social,B,True,2024-01-05
130,2024-07-05,Referral,B,True,2024-07-08
131,2024-06-01,Referral,B,False,
132,2024-03-22,Paid Social,B,True,2024-03-27
133,2024-02-13,Organic,A,False,
134,2024-05-03,Organic,B,False,
135,2024-12-10,Referral,A,False,
136,2024-04-27,Paid Social,A,False,
137,2024-07-08,Organic,A,False,
138,2024-09-13,Influencer,B,True,2024-09-17
139,2024-05-12,Referral,B,True,2024-05-19
140,2024-12-20,Paid Social,A,False,
141,2024-12-17,Organic,B,True,2024-12-22
142,2024-04-01,Organic,B,False,
143,2024-06-30,Influencer,A,True,2024-07-05
144,2024-04-19,Paid Social,B,True,2024-04-20
145,2024-04-13,Referral,A,False,
146,2024-01-14,Influencer,A,False,
147,2024-08-10,Paid Social,A,True,2024-08-17
148,2024-07-02,Paid Social,B,False,
149,2024-01-19,Organic,A,True,2024-01-24
150,2024-04-11,Paid Social,A,False,
151,2024-11-27,Organic,B,True,2024-11-29
152,2024-03-28,Paid Social,A,True,2024-04-03
153,2024-02-22,Organic,A,True,2024-02-27
154,2024-06-27,Paid Social,A,False,
155,2024-12-25,Paid Social,B,True,2024-12-31
156,2024-03-29,Paid Social,A,True,2024-03-29
157,2024-09-02,Referral,B,True,2024-09-04
158,2024-10-04,Referral,B,True,2024-10-07
159,2024-03-27,Referral,A,False,
160,2024-09-22,Paid Social,B,False,
161,2024-05-14,Influencer,A,True,2024-05-17
162,2024-08-18,Paid Social,A,True,2024-08-23
163,2024-08-19,Organic,A,True,2024-08-20
164,2024-07-14,Organic,A,False,
165,2024-02-02,Paid Social,A,False,
166,2024-10-31,Organic,B,True,2024-11-01
167,2024-04-27,Organic,B,True,2024-04-29
168,2024-03-09,Organic,B,True,2024-03-13
169,2024-01-15,Paid Social,A,False,
170,2024-08-03,Referral,B,True,2024-08-03
171,2024-09-04,Organic,B,True,2024-09-11
172,2024-01-07,Referral,A,False,
173,2024-07-05,Organic,B,False,
174,2024-03-23,Referral,A,True,2024-03-24
175,2024-08-23,Organic,A,False,
176,2024-03-04,Organic,A,True,2024-03-06
177,2024-09-09,Organic,B,True,2024-09-09
178,2024-05-21,Organic,A,False,
179,2024-12-07,Organic,B,True,2024-12-11
180,2024-02-20,Paid Social,A,True,2024-02-26
181,2024-05-04,Organic,A,True,2024-05-07
182,2024-02-11,Influencer,A,True,2024-02-12
183,2024-12-03,Referral,B,True,2024-12-05
184,2024-11-16,Organic,A,False,
185,2024-04-04,Paid Social,A,False,
186,2024-08-28,Referral,B,False,
187,2024-10-25,Paid Social,B,True,2024-11-01
188,2024-07-21,Paid Social,A,False,
189,2024-07-12,Influencer,A,False,
190,2024-03-29,Referral,B,True,2024-04-05
191,2024-02-03,Influencer,A,True,2024-02-07
192,2024-11-23,Referral,B,False,
193,2024-11-24,Paid Social,B,False,
194,2024-08-19,Paid Social,A,False,
195,2024-05-03,Paid Social,A,False,
196,2024-05-07,Referral,A,False,
197,2024-09-21,Influencer,A,False,
198,2024-11-23,Organic,A,True,2024-11-25
199,2024-11-19,Referral,A,True,2024-11-25
200,2024-10-11,Referral,B,False,
201,2024-08-22,Organic,A,False,
202,2024-01-31,Paid Social,B,True,2024-02-03
203,2024-02-28,Influencer,A,True,2024-03-03
204,2024-11-23,Referral,A,False,
205,2024-08-09,Organic,A,True,2024-08-12
206,2024-01-04,Influencer,A,True,2024-01-08
207,2024-02-07,Organic,A,False,
208,2024-08-30,Organic,A,False,
209,2024-01-02,Organic,A,True,2024-01-02
210,2024-02-28,Paid Social,A,False,
211,2024-07-19,Referral,A,True,2024-07-24
212,2024-09-09,Organic,A,True,2024-09-09
213,2024-08-25,Organic,A,True,2024-09-01
214,2024-03-22,Organic,A,False,
215,2024-09-16,Organic,B,True,2024-09-21
216,2024-03-27,Influencer,A,False,
217,2024-04-28,Paid Social,B,True,2024-04-28
218,2024-09-29,Paid Social,A,True,2024-09-29
219,2024-08-25,Organic,A,False,
220,2024-11-05,Organic,B,True,2024-11-11
221,2024-08-28,Referral,B,False,
222,2024-07-26,Influencer,B,False,
223,2024-02-04,Organic,A,True,2024-02-11
224,2024-05-14,Paid Social,B,False,
225,2024-04-06,Paid Social,B,False,
226,2024-03-30,Referral,B,False,
227,2024-12-21,Organic,B,False,
228,2024-05-23,Paid Social,A,True,2024-05-24
229,2024-11-21,Organic,A,False,
230,2024-08-18,Referral,A,True,2024-08-21
231,2024-10-17,Organic,A,True,2024-10-21
232,2024-07-02,Organic,A,True,2024-07-02
233,2024-07-29,Organic,B,True,2024-08-02
234,2024-06-28,Organic,A,True,2024-07-01
235,2024-03-12,Referral,A,True,2024-03-16
236,2024-09-20,Organic,A,False,
237,2024-04-12,Influencer,A,True,2024-04-14
238,2024-01-09,Influencer,A,True,2024-01-10
239,2024-08-23,Referral,A,True,2024-08-28
240,2024-03-05,Influencer,A,True,2024-03-12
241,2024-12-09,Referral,A,False,
242,2024-12-14,Paid Social,A,True,2024-12-15
243,2024-11-29,Referral,A,False,
244,2024-05-15,Organic,B,False,
245,2024-01-06,Paid Social,A,True,2024-01-09
246,2024-12-04,Organic,B,False,
247,2024-06-05,Referral,B,True,2024-06-07
248,2024-12-18,Referral,B,False,
249,2024-12-17,Organic,B,True,2024-12-20
250,2024-11-07,Paid Social,B,True,2024-11-08
251,2024-04-17,Paid Social,A,False,
252,2024-05-20,Paid Social,A,True,2024-05-27
253,2024-11-06,Organic,B,False,
254,2024-04-25,Organic,B,True,2024-04-25
255,2024-03-02,Paid Social,B,False,
256,2024-07-22,Paid Social,A,True,2024-07-23
257,2024-12-07,Organic,B,True,2024-12-10
258,2024-09-11,Paid Social,A,False,
259,2024-07-27,Referral,A,True,2024-07-30
260,2024-02-05,Referral,A,False,
261,2024-08-12,Paid Social,B,False,
262,2024-12-27,Paid Social,A,True,2024-12-28
263,2024-02-21,Referral,A,True,2024-02-21
264,2024-07-08,Organic,B,True,2024-07-12
265,2024-11-16,Organic,B,True,2024-11-21
266,2024-09-27,Paid Social,B,True,2024-09-30
267,2024-09-11,Paid Social,A,False,
268,2024-09-13,Organic,A,False,
269,2024-05-11,Paid Social,A,True,2024-05-12
270,2024-04-17,Referral,B,True,2024-04-18
271,2024-10-22,Organic,A,False,
272,2024-10-22,Organic,B,True,2024-10-26
273,2024-11-12,Organic,A,True,2024-11-17
274,2024-11-29,Organic,A,True,2024-12-03
275,2024-07-05,Organic,A,False,
276,2024-07-02,Paid Social,A,True,2024-07-09
277,2024-10-18,Paid Social,B,True,2024-10-23
278,2024-08-25,Paid Social,A,True,2024-08-30
279,2024-09-13,Paid Social,A,True,2024-09-19
280,2024-10-17,Organic,B,True,2024-10-24
281,2024-11-20,Paid Social,B,True,2024-11-27
282,2024-05-03,Paid Social,B,True,2024-05-07
283,2024-05-17,Organic,A,True,2024-05-22
284,2024-02-04,Paid Social,A,True,2024-02-07
285,2024-07-30,Organic,A,True,2024-08-02
